name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Chinese Hut,Chinese,400,0,0,1,3.4,Average,20,New Delhi,Vasant Vihar,28.5579301846,77.1642324328,Rs.,Budget,Chinese,Average,No Delivery
Dawat,"North Indian, Chinese, Mughlai",450,0,0,1,2.9,Average,49,New Delhi,Lodhi Colony,28.5838333000,77.2205314000,Rs.,Budget,North Indian,Poor,No Delivery
Hot Chimney,"North Indian, Chinese, Mughlai",850,0,1,2,2.5,Average,55,New Delhi,Lodhi Colony,28.5837437000,77.2205314000,Rs.,Moderate,North Indian,Poor,No Delivery
Peshawari Restaurant,"North Indian, Chinese",700,0,0,2,3.1,Average,55,New Delhi,Lodhi Road,28.5811874000,77.2209805000,Rs.,Moderate,North Indian,Average,No Delivery
Granma's Homemade,"Bakery, Desserts, Fast Food",200,0,0,1,3.6,Good,25,New Delhi,Lodhi Road,28.5899700000,77.2256070000,Rs.,Budget,Bakery,Good,No Delivery
Wild Willy,"Pizza, Fast Food",500,0,0,2,3.2,Average,19,New Delhi,Lodhi Road,28.5899700000,77.2256070000,Rs.,Moderate,Pizza,Average,No Delivery
CJ's Fresh,"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",1000,1,0,3,3.8,Good,25,New Delhi,Lodhi Colony,28.5857905000,77.2265194000,Rs.,Premium,American,Good,Has Delivery
Bhane,Ice Cream,300,0,0,1,3.6,Good,26,New Delhi,Lodhi Colony,28.5822261789,77.2269374505,Rs.,Budget,Ice Cream,Good,No Delivery
Celeste,"Cafe, Desserts, Bakery",500,0,0,2,3.5,Good,14,New Delhi,Lodhi Colony,28.5852944000,77.2264595000,Rs.,Moderate,Cafe,Good,No Delivery
M.D. Kitchen,"North Indian, Mughlai, Chinese, South Indian",600,1,0,2,2.6,Average,30,New Delhi,INA,28.5783748000,77.2100616000,Rs.,Moderate,North Indian,Poor,Has Delivery
Oriental Lee,"Chinese, Thai",500,0,0,2,2.7,Average,19,New Delhi,Lodhi Road,28.5899700000,77.2256070000,Rs.,Moderate,Chinese,Poor,No Delivery
Gopala,"Mithai, Street Food",250,0,0,1,3.3,Average,25,New Delhi,Lodhi Colony,28.5867198000,77.2263697000,Rs.,Budget,Mithai,Average,No Delivery
Establishment Ristorante,Bakery,400,0,0,1,3.1,Average,12,New Delhi,Lodhi Colony,0.0000000000,0.0000000000,Rs.,Budget,Bakery,Average,No Delivery
